28
9
// Format: Font styles - normal, bold, italic and bold italic:
// character x y w h x y w h x y w h x y w h
! 0 0 4 26 24 26 6 26 233 52 10 26 813 78 12 26 
" 4 0 7 26 30 26 9 26 243 52 13 26 825 78 15 26 
# 11 0 10 26 39 26 12 26 256 52 16 26 840 78 18 26 
$ 21 0 10 26 51 26 12 26 272 52 15 26 858 78 17 26 
% 31 0 18 26 63 26 20 26 287 52 24 26 875 78 26 26 
& 49 0 17 26 83 26 19 26 311 52 23 26 901 78 25 26 
' 66 0 3 26 102 26 5 26 334 52 9 26 926 78 11 26 
( 69 0 7 26 107 26 9 26 343 52 13 26 937 78 15 26 
) 76 0 7 26 116 26 9 26 356 52 13 26 952 78 15 26 
* 83 0 6 26 125 26 8 26 369 52 12 26 967 78 14 26 
+ 89 0 8 26 133 26 10 26 381 52 14 26 981 78 16 26 
, 97 0 3 26 143 26 5 26 395 52 9 26 997 78 11 26 
- 100 0 8 26 148 26 10 26 404 52 14 26 1008 78 16 26 
. 108 0 3 26 158 26 5 26 418 52 9 26 0 104 11 26 
/ 111 0 17 26 163 26 19 26 427 52 23 26 11 104 25 26 
0 128 0 16 26 182 26 18 26 450 52 22 26 36 104 24 26 
1 144 0 4 26 200 26 6 26 472 52 10 26 60 104 12 26 
2 148 0 14 26 206 26 16 26 482 52 20 26 72 104 22 26 
3 162 0 14 26 222 26 16 26 502 52 20 26 94 104 22 26 
4 176 0 16 26 238 26 18 26 522 52 22 26 116 104 24 26 
5 192 0 14 26 256 26 16 26 544 52 20 26 140 104 22 26 
6 206 0 15 26 272 26 17 26 564 52 21 26 162 104 23 26 
7 221 0 14 26 289 26 16 26 585 52 20 26 185 104 22 26 
8 235 0 16 26 305 26 18 26 605 52 21 26 207 104 23 26 
9 251 0 15 26 323 26 17 26 626 52 21 26 230 104 23 26 
: 266 0 4 26 340 26 6 26 647 52 10 26 253 104 12 26 
; 270 0 4 26 346 26 6 26 657 52 10 26 265 104 12 26 
< 274 0 5 26 352 26 7 26 667 52 11 26 277 104 13 26 
= 279 0 8 26 359 26 10 26 678 52 14 26 290 104 16 26 
> 287 0 5 26 369 26 7 26 692 52 11 26 306 104 13 26 
? 292 0 12 26 376 26 14 26 703 52 18 26 319 104 20 26 
@ 304 0 13 26 390 26 15 26 721 52 18 26 339 104 20 26 
A 317 0 17 26 405 26 19 26 739 52 23 26 359 104 25 26 
B 334 0 14 26 424 26 16 26 762 52 20 26 384 104 22 26 
C 348 0 14 26 440 26 16 26 782 52 19 26 406 104 21 26 
D 362 0 15 26 456 26 17 26 801 52 21 26 427 104 23 26 
E 377 0 13 26 473 26 15 26 822 52 19 26 450 104 21 26 
F 390 0 13 26 488 26 15 26 841 52 19 26 471 104 21 26 
G 403 0 14 26 503 26 16 26 860 52 20 26 492 104 22 26 
H 417 0 15 26 519 26 17 26 880 52 20 26 514 104 22 26 
I 432 0 4 26 536 26 6 26 900 52 10 26 536 104 12 26 
J 436 0 11 26 542 26 13 26 910 52 16 26 548 104 18 26 
K 447 0 15 26 555 26 17 26 926 52 21 26 566 104 23 26 
L 462 0 11 26 572 26 13 26 947 52 17 26 589 104 19 26 
M 473 0 19 26 585 26 21 26 964 52 24 26 608 104 26 26 
N 492 0 15 26 606 26 17 26 988 52 20 26 634 104 22 26 
O 507 0 16 26 623 26 18 26 0 78 22 26 656 104 24 26 
P 523 0 14 26 641 26 16 26 22 78 20 26 680 104 22 26 
Q 537 0 16 26 657 26 18 26 42 78 22 26 702 104 24 26 
R 553 0 15 26 675 26 17 26 64 78 20 26 726 104 22 26 
S 568 0 14 26 692 26 16 26 84 78 20 26 748 104 22 26 
T 582 0 13 26 708 26 15 26 104 78 19 26 770 104 21 26 
U 595 0 15 26 723 26 17 26 123 78 20 26 791 104 22 26 
V 610 0 17 26 740 26 19 26 143 78 23 26 813 104 25 26 
W 627 0 21 26 759 26 23 26 166 78 27 26 838 104 29 26 
X 648 0 16 26 782 26 18 26 193 78 22 26 867 104 24 26 
Y 664 0 15 26 800 26 17 26 215 78 21 26 891 104 23 26 
Z 679 0 14 26 817 26 16 26 236 78 20 26 914 104 22 26 
[ 693 0 4 26 833 26 6 26 256 78 10 26 936 104 12 26 
\ 697 0 17 26 839 26 19 26 266 78 23 26 948 104 25 26 
] 714 0 4 26 858 26 6 26 289 78 10 26 973 104 12 26 
^ 718 0 5 26 864 26 7 26 299 78 11 26 985 104 13 26 
_ 723 0 10 26 871 26 12 26 310 78 16 26 998 104 18 26 
` 733 0 4 26 883 26 6 26 326 78 10 26 0 130 12 26 
a 737 0 12 26 889 26 14 26 336 78 17 26 12 130 19 26 
b 749 0 12 26 903 26 14 26 353 78 18 26 31 130 20 26 
c 761 0 10 26 917 26 12 26 371 78 16 26 51 130 18 26 
d 771 0 12 26 929 26 14 26 387 78 17 26 69 130 19 26 
e 783 0 10 26 943 26 12 26 404 78 16 26 88 130 18 26 
f 793 0 9 26 955 26 11 26 420 78 15 26 106 130 17 26 
