70
18
// Format: Font styles - normal, bold, italic and bold italic:
// character x y w h x y w h x y w h x y w h
! 0 0 14 65 779 130 14 65 542 325 26 65 566 585 26 65 
" 14 0 21 65 793 130 21 65 568 325 35 65 592 585 35 65 
# 35 0 27 65 814 130 27 65 603 325 40 65 627 585 40 65 
$ 62 0 31 65 841 130 31 65 643 325 44 65 667 585 44 65 
% 93 0 26 65 872 130 26 65 687 325 39 65 711 585 39 65 
& 119 0 44 65 898 130 44 65 726 325 57 65 750 585 57 65 
' 163 0 10 65 942 130 10 65 783 325 23 65 807 585 23 65 
( 173 0 20 65 952 130 20 65 806 325 33 65 830 585 33 65 
) 193 0 20 65 972 130 20 65 839 325 33 65 863 585 33 65 
* 213 0 19 65 992 130 19 65 872 325 32 65 896 585 32 65 
+ 232 0 26 65 0 195 26 65 904 325 39 65 928 585 39 65 
, 258 0 10 65 26 195 10 65 943 325 23 65 967 585 23 65 
- 268 0 26 65 36 195 26 65 966 325 39 65 990 585 34 65 
. 294 0 10 65 62 195 10 65 0 390 23 65 0 650 23 65 
/ 304 0 25 65 72 195 25 65 23 390 39 65 23 650 39 65 
0 329 0 42 65 97 195 42 65 62 390 55 65 62 650 55 65 
1 371 0 14 65 139 195 14 65 117 390 26 65 117 650 26 65 
2 385 0 39 65 153 195 39 65 143 390 52 65 143 650 52 65 
3 424 0 36 65 192 195 36 65 195 390 49 65 195 650 49 65 
4 460 0 41 65 228 195 41 65 244 390 54 65 244 650 54 65 
5 501 0 38 65 269 195 38 65 298 390 51 65 298 650 51 65 
6 539 0 40 65 307 195 40 65 349 390 53 65 349 650 53 65 
7 579 0 36 65 347 195 36 65 402 390 50 65 402 650 50 65 
8 615 0 41 65 383 195 41 65 452 390 54 65 452 650 54 65 
9 656 0 40 65 424 195 40 65 506 390 53 65 506 650 53 65 
: 696 0 12 65 464 195 12 65 559 390 24 65 559 650 24 65 
; 708 0 12 65 476 195 12 65 583 390 24 65 583 650 24 65 
< 720 0 12 65 488 195 12 65 607 390 25 65 607 650 25 65 
= 732 0 25 65 500 195 25 65 632 390 39 65 632 650 39 65 
> 757 0 12 65 525 195 12 65 671 390 26 65 671 650 26 65 
? 769 0 39 65 537 195 39 65 697 390 52 65 697 650 52 65 
@ 808 0 32 65 576 195 32 65 749 390 45 65 749 650 45 65 
A 840 0 42 65 608 195 42 65 794 390 56 65 794 650 56 65 
B 882 0 40 65 650 195 40 65 850 390 52 65 850 650 52 65 
C 922 0 36 65 690 195 36 65 902 390 49 65 902 650 49 65 
D 958 0 40 65 726 195 40 65 951 390 53 65 951 650 53 65 
